Player,Teams,Balls,Maidens,Runs,Wickets,Avg,Econ,Strike Rate,5's,10's,Catch Taken,Stummping Made
Ravinderpal Singh,Canada,0,0,0,0,0,-,-,0,0,0,0
RB Patel,Uganda,0,0,0,0,0,-,-,0,0,0,0
RD Berrington,Scotland,0,0,0,0,0,-,-,0,0,1,0
RG Mukasa,Uganda,0,0,0,0,0,-,-,0,0,2,0
RG Sharma,India,0,0,0,0,0,-,-,0,0,5,0
Riazat Ali Shah,Uganda,12,0,21,1,21,10.5,12,0,0,1,0
Rishad Hossain,Bangladesh,150,0,194,14,13.85,7.76,10.7,0,0,3,0
RJW Topley,England,108,0,121,2,60.5,6.72,54,0,0,0,0
RK Paudel,Nepal,24,0,20,2,10,5,12,0,0,0,0
RL Chase,West Indies,90,0,80,7,11.42,5.33,12.8,0,0,4,0
RR Hendricks,South Africa,0,0,0,0,0,-,-,0,0,4,0
RR Pant,India,0,0,0,0,0,-,-,0,0,13,0
S Bau,Papua New Guinea,6,0,18,0,0,18,-,0,0,0,0
S Dhakal,Nepal,24,0,21,0,0,5.25,-,0,0,0,0
S Dube,India,6,0,11,0,0,11,-,0,0,1,0
S Jora,Nepal,0,0,0,0,0,-,-,0,0,0,0
S Lamichhane,Nepal,48,1,35,2,17.5,4.37,24,0,0,2,0
S Movva,Canada,0,0,0,0,0,-,-,0,0,5,0
S Samarawickrama,Sri Lanka,0,0,0,0,0,-,-,0,0,0,0
S Ssesazi,Uganda,0,0,0,0,0,-,-,0,0,1,0
SA Edwards,Netherlands,0,0,0,0,0,-,-,0,0,2,0
SA Engelbrecht,Netherlands,0,0,0,0,0,-,-,0,0,4,0
SA Yadav,India,0,0,0,0,0,-,-,0,0,5,0
Saad Bin Zafar,Canada,72,0,87,1,87,7.25,72,0,0,0,0
Saim Ayub,Pakistan,0,0,0,0,0,-,-,0,0,1,0
SC van Schalkwyk,USA,64,0,103,0,0,9.65,-,0,0,0,0
SD Hope,West Indies,0,0,0,0,0,-,-,0,0,1,0
SE Rutherford,West Indies,0,0,0,0,0,-,-,0,0,2,0
Shadab Khan,Pakistan,24,0,38,0,0,9.5,-,0,0,1,0
Shaheen Shah Afridi,Pakistan,96,0,105,5,21,6.56,19.2,0,0,1,0
Shakeel Ahmed,Oman,54,0,71,0,0,7.88,-,0,0,1,0
Shakib Al Hasan,Bangladesh,104,0,130,3,43.33,7.5,34.6,0,0,3,0
Shayan Jahangir,USA,0,0,0,0,0,-,-,0,0,1,0
Shoaib Khan,Oman,0,0,0,0,0,-,-,0,0,2,0
SI Kamea,Papua New Guinea,36,0,39,2,19.5,6.5,18,0,0,1,0
SM Curran,England,72,0,115,3,38.33,9.58,24,0,0,2,0
SM Sharif,Scotland,48,0,82,4,20.5,10.25,12,0,0,1,0
SN Netravalkar,USA,113,0,125,6,20.83,6.63,18.8,0,0,1,0
Sompal Kami,Nepal,54,1,34,3,11.33,3.77,18,0,0,1,0
Soumya Sarkar,Bangladesh,0,0,0,0,0,-,-,0,0,3,0
SR Taylor,USA,18,0,36,0,0,12,-,0,0,2,0
T Lungameni,Namibia,42,0,57,1,57,8.14,42,0,0,0,0
T Shamsi,South Africa,101,0,128,11,11.63,7.6,9.1,0,0,0,0
T Stubbs,South Africa,0,0,0,0,0,-,-,0,0,7,0
TA Boult,New Zealand,96,2,59,9,6.55,3.68,10.6,0,0,0,0
Tanzid Hasan,Bangladesh,0,0,0,0,0,-,-,0,0,0,0
Tanzim Hasan Sakib,Bangladesh,144,2,149,11,13.54,6.2,13,0,0,6,0
Taskin Ahmed,Bangladesh,128,1,137,8,17.12,6.42,16,0,0,0,0
TG Southee,New Zealand,72,1,36,7,5.14,3,10.2,0,0,0,0
TH David,Australia,0,0,0,0,0,-,-,0,0,5,0
